timestamp,current_ma,brightness,avg_cpu_freq
1768410456,1007,1330,1950000
1768410457,330,1441,650000
1768410458,521,1506,965000
1768410459,910,1556,1915000
1768410460,399,1556,537500
1768410461,367,1556,537500
1768410462,479,1556,1506250
1768410463,355,1556,1062500
1768410464,825,1556,537500
1768410465,765,1556,875000
1768410466,288,1556,537500
1768410467,638,1556,1042500
1768410468,472,1556,537500
1768410469,1052,1556,2000000
1768410470,445,1556,537500
1768410471,580,1556,875000
1768410472,590,1556,1825000
1768410473,632,1556,1156250
1768410474,556,1556,717500
1768410475,405,1556,537500
1768410476,405,1556,612500
1768410477,390,1556,537500
1768410478,855,1556,1625000
1768410479,370,1556,537500
1768410480,665,1538,1885000
1768410481,1064,1416,1760000
1768410482,494,1336,797500
1768410483,967,1249,2000000
1768410484,475,1185,1589750
1768410485,316,1143,1115000
1768410486,638,1116,2000000
1768410487,904,1095,1785000
1768410488,708,1081,1675000
1768410489,879,1072,850000
1768410490,874,1062,802500
1768410491,668,1044,661250
1768410492,488,980,747500
1768410493,397,944,631250
1768410494,666,913,881250
1768410495,520,893,1010000
1768410496,372,881,837500
1768410497,351,862,537500
1768410498,511,846,556250
1768410499,372,838,537500
1768410500,346,835,1512500
1768410501,988,990,1853500
1768410502,438,1254,2150000
1768410503,1148,1254,2150000
1768410504,391,1254,537500
1768410505,445,1269,575000
1768410506,271,1303,567500
1768410507,354,1340,612500
1768410508,373,1369,1112500
1768410509,786,1384,893750
1768410511,485,1390,962500
1768410512,1311,1405,1892500
1768410513,889,1410,662500
1768410514,745,1410,602500
1768410515,864,1410,875000
1768410516,346,1410,537500
1768410517,1042,1410,1602250
1768410518,342,1410,537500
1768410519,352,1410,537500
1768410520,304,1410,893750
1768410521,763,1410,1262500
1768410522,847,1410,537500
1768410523,396,1410,537500
1768410524,939,1410,778750
1768410525,372,1410,650000
1768410526,376,1410,537500
1768410527,336,1410,537500
1768410528,373,1410,977500
1768410529,423,1410,570000
1768410530,511,1410,780000
1768410531,349,1410,537500
1768410532,805,1410,635000
1768410533,560,1410,830000
1768410534,290,1410,570000
1768410535,397,1410,1011250
1768410536,1051,1410,2000000
1768410537,765,1410,850000
1768410538,408,1410,537500
1768410539,382,1410,700000
1768410540,390,1410,537500
1768410541,629,1410,875000
1768410542,801,1410,1928750
1768410543,382,1410,700000
1768410544,535,1410,537500
1768410545,331,1410,537500
1768410546,1260,1410,2000000
1768410547,409,1410,1551125
1768410548,928,1410,2037500
1768410549,1234,1410,2150000
1768410550,1106,1410,1205000
1768410551,1236,1410,2038625
1768410552,373,1410,1222500
1768410553,1377,1410,1975000
1768410554,638,1410,1289125
1768410555,1501,1410,2150000
1768410556,1554,1410,2150000
1768410557,581,1410,1470250
1768410558,756,1410,1915000
1768410559,954,1410,1915000
1768410560,1342,1410,2150000
1768410561,1493,1410,2150000
1768410562,1501,1410,2150000
1768410563,1607,1410,2150000
1768410564,1450,1410,2150000
1768410565,1170,1410,2150000
1768410566,707,1410,1730000
1768410567,784,1410,1282750
1768410568,263,1410,967500
1768410569,992,1410,1025000
1768410570,231,1410,602500
1768410571,1667,1410,2150000
1768410572,450,1410,837500
1768410573,300,1410,537500
1768410574,273,1410,1397500
1768410575,1082,1410,2150000
1768410576,1691,1410,2150000
1768410577,774,1397,1482500
1768410578,784,1363,1114750
1768410579,726,1356,656250
1768410580,381,1356,1397500
1768410581,735,1356,960000
1768410582,239,1356,1397500
1768410583,731,1356,1350750
1768410584,934,1358,1464000
1768410585,717,1359,1915000
1768410586,1561,1360,2150000
1768410587,597,1361,1705250
1768410588,1423,1395,2150000
1768410589,1732,1487,2150000
1768410590,1412,1590,2150000
1768410591,1611,1643,2150000
1768410592,1748,1692,2150000
1768410593,1583,1723,2150000
1768410594,1685,1723,2150000
1768410595,1724,1723,2150000
1768410596,1635,1723,2150000
1768410597,1571,1723,2150000
1768410598,1469,1723,2150000
1768410599,1374,1723,2150000
1768410600,850,1723,2068750
1768410601,939,1723,2150000
1768410602,431,1723,2150000
1768410603,1333,1723,2150000
1768410604,1523,1723,2150000
1768410606,1680,1723,2150000
1768410607,1525,1723,2150000
1768410608,653,1723,2150000
1768410609,188,1723,537500
